id,status,title,progress,score,start_date,finish_date,last_watch_date,total_rewatch,notes
c3815a8d2f70,completed,Attack on titann,2,9.8,,,2026-06-06,,"somewhere in late 2021, and again year/s after"
20af3a798ebc,completed,Berserk 1997,,9.5,,,,2,
ef7fdce2e37b,completed,Spirited Away,,,,,,,
8f24061d0d97,plan to watch,chainsaw man (1 сезон),,8.4,,,,,waiting for release
45c4f3d21a1a,completed,Monster,,7.8,,,,,
f050b79b3714,completed,cowboy bebop (озвучка KANSAI),,10,,,,2,
e212aa9314b5,dropped,tokyo ghoul (2 seasons),,6.9,,,,,
96cf579ddcd2,completed,death note,,7.6,,,,,
9c019e0cc06c,completed,"steins;gate 2011 (1, 2 seasons)",,10,,,,,
5525b308e2fe,paused,"one punch man (1, 2 seasons),",,8,,,,,waiting for release
2aa663468ae1,completed,Redo the Healer (1 сезон),,6.9,,,,,
f09416395927,dropped,k-on (1 серия),,,,,,,
74ed97de3545,paused,одинокий рокер Bocchi the Rock (12 серий),,9,,,,,waiting for release
289005a4c41d,completed,"Евангелион 1995-1996 (26 серий, +фильм Конец Евангелиона)",,9.3,,,,,
a807aa3e58eb,completed,ходячий замок,,9.3,,,,,
6cc4f28c99f3,completed,Great Teacher Onidzuka,,10,,,,1,
183fb5840b55,dropped,"Клинок, рассекающий демонов (1 серия)",,,,,,,
23fa1b14609a,completed,Сага о Винланде 2 сезон 24 серия,,9.4,,,,2,
2fd6f3c04c4e,completed,Serial Experiments Lain (13 series),,8.3,,,,,
ddcd1ce1e789,plan to watch,Made in Abyss (2 seasons),,8.5,,,,,waiting for release
ccaa62af76f6,plan to watch,"spy x family (2 season, 12 ep)",,8.5,,,,,waiting for release
9ae1916d0bba,completed,"Для тебя, Бессмертный (Fumetsu no Anata e)",,8.6,,,,,
41df80e2d927,plan to watch,"Реинкарнация безработного: История о приключениях в другом мире 1 season: part 1, 2, 2 season: part 1,",,8.6,,,,,waiting for release
68484f03922c,completed,"High school DxD - 1 season, ??-07.04.2025",,6.9,,,,,
d805c52dcfe7,completed,Форма голоса (Koe no Katachi),,6.6,,,,,
23ee377f876f,plan to watch,"Re:Zero Жизнь в альтернативном мире с нуля 1 season, 2 season (1,2 части) + снежные воспоминания",,10,,,,,waiting for release
17e61c430394,plan to watch,Highschool of the Dead (3 серии),,,,,,,
cee35c22f970,plan to watch,Frieren: Beyond Journey's End (28 серий),,7.7,,,,,waiting for release
88e357f52ef9,completed,No Game No Life (1 сезон),,7,,,,,
55dd9dcf6565,plan to watch,Hellsing (Хеллсинг: Война с нечистью),,,,,,,
f5a2f386e393,plan to watch,Code Geass: Lelouch of the Rebellion (1 серия),,,,,,,
43f5567a9c9b,completed,Психопаспорт (2 сезона + фильм2015),,7,,,,,
a420f680c98f,plan to watch,Кулинарные поединки Сомы Shokugeki no Souma) (1 серия),,,,,,,
3bcd5a27b4f8,completed,Avatar The Last Airbender,,,,,,,
233afa3902dd,plan to watch,World End Harem (1 season),,3.6,,,,,waiting for release
ec6a19acd5c1,watching,Nichijou (Мелочи жизни) (3 ep),,,,,,,
e4c2a161849b,plan to watch,"10,?-05.03.2025 [*] Steins Gate 22 ep's",,,,,,,
11ea543a3134,completed,Mushoku Tensei 2 season part 2: 12 ep's,,8.7,,,,,
fed58cb6ee8a,plan to watch,"10,[*][2] KonoSuba: God's Blessing on This Wonderful World!",,,,,,,
7bf69583bce7,completed,KonoSuba 2,,9.5,,,,2,
e90c531eab05,completed,"ERASED (Город, в котором меня нет)",,8,,,,,
dea02cc83e2b,completed,KonoSuba 3,,9,,,,,
e6ae6530e497,dropped,"My Deer friend Nokotan, 1s 10 ep (half watched)",,,,,,,
984920bf72c7,completed,Welcome To N.H.K (10 ep watched),,,,,,,
1439ddddbdd3,completed,Spy x Family film: Code White,,8.5,,,,,
29ee6ba9d0d9,completed,Kiss x Sis: ep,,6.9,,,,,
a9ddda2853c5,completed,Seven Deadly Sins 1 season,,6.5,,,,,
0f4ccd3b1b67,plan to watch,1 season : Shimoneta: A Boring World Where the Concept of Dirty Jokes Doesn't Exist (2015),,6.9,,,,,
1acf8aa45676,paused,3 seasons : Tensei shitara Slime Datta Ken (исекай перерождение в слизь),,7,,,,,
8de158d95259,dropped,1 season : Seven Deadly Sins,,,,,,,
9fb046bc7d89,completed,Welcome To N.H.K (finished),,7.7,,,,,
a5d1913cbe95,completed,Prison School,,6.9,,,,,
74465fd245bc,plan to watch,"3.0, -.12.2024, [x] 6 ep : Ishuzoku Reviewer[ ]",,,,,,,
6e1999bced2c,plan to watch,"7 ep, 12.12.2024 [ ] : Nichijou (Мелочи жизни)",,,,,,,
4d8d282d8cd2,dropped,11 ep : Danmachi,,3.4,,,,,
5ca3af3a8556,plan to watch,"6.7, 14.12.2024, [*] 10 ep : Homeless god - Noragami [HWP]",,,,,,,
19141d745fc6,plan to watch,"9, 14.12.2024, [*], 1 season : Kusuriya no Hitorigoto TV-1",,,,,,,
3e17e789e373,plan to watch,"10, 17.12.2024, [*],Kimi no Na wa",,,,,,,
0895fca9063c,plan to watch,", 18.12.2024,25.12.2024 [ ], Kill la Kill 1 Season : 2 ep",,,,,,,
281e96780fc3,plan to watch,",20.12.2024-04.03.2025-30.03.2025 [<], Re;Zero Season 3 : ep 16",,,,,,,
3673350c6fa1,plan to watch,",20.12.2024, [ ], Demon Slayer, 1 ep",,,,,,,
4808881b9500,plan to watch,",25,12,2024, [x], Jojo Bizare Adventure 1 Season",,,,,,,
16dcc16ff3c8,plan to watch,"29.12.2024, [ ]. Noragami Aragoto (Homeless god season 2)",,,,,,,
9a8d5afa07ab,plan to watch,",,Code Geass [ ] 19 ep watched",,,,,,,
a14bd7d835e4,plan to watch,"10,07.01.2025,08.01.2025 [*], 13 ep Elfen Lied",,,,,,,
3d4057e256c7,plan to watch,",10,01.2025,17.01.2025 , [*] 13 ep Yuusha ga Shinda! 1 season",,,,,,,
2c074a9d8df9,plan to watch,"10, ,14.01.2025, [*] 13 ep, Mahou Shoujo Madoka Magika",,,,,,,
afd2ced274d0,plan to watch,"5, 17.01.2025, [x] 1 ep, Megami no Cafe Terrace",,,,,,,
24928d5ab302,plan to watch,",17.01.2025-21.04.2025-, [ ] 4 ep Тёмный дворецкий Kuroshitsuji",,,,,,,
4d0c4bceab6d,plan to watch,"6.5, 18.05.2025,[*] How NOT to summon a demon lord",,,,,,,
744b42c3fc07,plan to watch,",18.12.2024,[*] ep,Mahou Shoujo ni Akogarete",,,,,,,
b1b4545b113a,plan to watch,",18.12.2024, [*], Повелитель тьмы на подработке (Hataraku Maou-sama!), 13 ep",,,,,,,
9f6035382290,plan to watch,"8.3,20.12.2024 - 25.05.2025- 18.06.2025, 28.06.2025,06.07.2025 [*], 23 ep Kusuriya no Hitorigoto Season 2",,,,,,,
4c6474d97f7c,plan to watch,"10,12.02.2025-14.02.2025, [*], 14 + 1 special, Angel Beats",,,,,,,
80d70d6d7ebe,plan to watch,"9.5,12.02.2025,17.02.2025 [*] 12 ep, Kakegurui",,,,,,,
50b92c95bb5d,plan to watch,"7.8,17.02.2025 [*] 12 ep, Kakegurui xx",,,,,,,
a2429dab7a61,plan to watch,"10, 05.03.2025-06.03.2025 [*] Steins Gate 0",,,,,,,
64eb56cff231,plan to watch,"6.5, 06.03.2025-12.03.2025, [*], 10 ep, How NOT to summon a demon lord Omega (second season)",,,,,,,
346ace4157a1,plan to watch,"8.0,18.03.2025,[*] 12 ep, Headhunter to Another World: From Salaryman to Big Four! (Salaryman ga Isekai ni Ittara Shitennou ni Natta Hanashi)",,,,,,,
052d699ba9b0,plan to watch,"03.04.2025, [x] 1ep, Please put them on, Takamine San",,,,,,,
57a3180dac57,plan to watch,"03.04.2025, [x] 2ep, Ive been killing slimes for 300years and maxed my level",,,,,,,
aae008465cc0,plan to watch,"03.04.2025,20,12.2025 [ ] 4ep, Miss Kobayashis dragon maid",,,,,,,
900c7f002b03,plan to watch,"8.6, 08.04.2025-09.04.2025, [*] 13 ep, Arifureta Season 1",,,,,,,
68b166190b4f,plan to watch,"8.5, 09.04.2025-11.04.2025, [*] 12 ep, Arifureta Season 2",,,,,,,
1d21dab73d1b,plan to watch,"9, 11.04.2025, [*] 16 ep, Arifureta Season 3",,,,,,,
d97fb0a95970,plan to watch,"10,13.04.2025, [*] 12 ep, My Dress Up Darling",,,,,,,
1ec647e1ff3c,plan to watch,"24.04.2025, [ ] 1 ep, Highschool DxD NEW",,,,,,,
18ba5c5868fa,plan to watch,"27.04.2025, [ ] 11 ep Chobits",,,,,,,
a9e63a6131cc,plan to watch,"7.8, 09.06.2025, [ ] 2 half watched, Monster Musume",,,,,,,
db1b35546b15,plan to watch,"9, 18.06.2025, [*] Promised Neverland Season 1",,,,,,,
e33202f4fbc6,plan to watch,"9,18.06.2025-19.06.2025-22.05-2025,01-06-2026 [*] Mushi-shi 24 ep",,,,,,,
66e953f37e75,plan to watch,"22.05.2025 ~ 28.06.2025 ~ 06.07.2025, [*] Monster Musume 12 ep",,,,,,,
7203e5bda2d2,plan to watch,"10, 07.07.2025, [*] Konosuba Gods Blessing on wonderful world: Lenend of Crimson (full movie)",,,,,,,
